"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#FollowBack PM Modi connects with Indian diaspora in Ireland, promises more visits  #TeamFollowBack",FALSE,0,NA,2015-09-23 17:32:40,FALSE,NA,"646738966184521728",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","MeherSinha",0,FALSE,FALSE,NA,NA
"RT @ndtv: The visa was denied to Modi at the request of the UPA government: Economist Jagdish Bhagwati #BhagwatiOnModi http://t.co/pGLzrpcB…",FALSE,0,NA,2015-09-23 17:32:39,FALSE,NA,"646738965395931136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MohanKumrShukla",393,TRUE,FALSE,NA,NA
"#FollowBack Irish children recite shlokas and Modi’s Dublin event, PM takes dig at secularists  #TeamFollowBack",FALSE,0,NA,2015-09-23 17:32:39,FALSE,NA,"646738965312241664",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","VanishaRoy",0,FALSE,FALSE,NA,NA
"#FollowBack PM Modi connects with Indian diaspora in Ireland, promises more visits  #TeamFollowBack",FALSE,0,NA,2015-09-23 17:32:39,FALSE,NA,"646738964150386688",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","VanishaRoy",0,FALSE,FALSE,NA,NA
"RT @vinaydokania: Modi  proved himself as selfie addicted in his foreign tours.instead of talk on serious issues he was busy in photo shoot…",FALSE,0,NA,2015-09-23 17:32:39,FALSE,NA,"646738962912964608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhiraj1041986",5,TRUE,FALSE,NA,NA
"#ModiInIreland Modi has pretty low standard of behaviour. But the statement of Sanskrit slogans is too low by his even his standards.",FALSE,0,NA,2015-09-23 17:32:37,FALSE,NA,"646738955249971201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joselv10",0,FALSE,FALSE,NA,NA
"RT @pragya_bhushan: The world going head over heals for Modi. #Libtards crying Rss n secularism. BURNOL PLEASE http://t.co/yiyZhBw76A",FALSE,0,NA,2015-09-23 17:32:37,FALSE,NA,"646738953542873088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Er_sandy_18",74,TRUE,FALSE,NA,NA
"Irish children recite shlokas and Modi’s Dublin event, PM takes dig at secularists: With Irish children welcom... http://t.co/hYHm5nauKG",FALSE,0,NA,2015-09-23 17:32:36,FALSE,NA,"646738952590749696",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","skrthakur",0,FALSE,FALSE,NA,NA
"RT @sjpandya: Mongloia, Bangladesh, Bhutan, Australia..Modi managed a business for Adani everywhere #NRIsRejectModi",FALSE,0,NA,2015-09-23 17:32:36,FALSE,NA,"646738952204894209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","urmylifesana",6,TRUE,FALSE,NA,NA
"PM Modi connects with Indian diaspora in Ireland, promises more visits: Prime Minister Narendra Modi on Wednes... http://t.co/XjgGjiH6Bj",FALSE,0,NA,2015-09-23 17:32:36,FALSE,NA,"646738951097720832",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","skrthakur",0,FALSE,FALSE,NA,NA
"RT @_shriraj: Modi said that Khadi's selling doubled this year.Actually Khadi up Only 6% During 2014-15. #NRIsRejectModi",FALSE,0,NA,2015-09-23 17:32:35,FALSE,NA,"646738945552723968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iMehulninama",8,TRUE,FALSE,NA,NA
"@abpnewstv well done Mr Narendra Modi ... I m proud if u As original Indian &amp; Gujarati..",FALSE,0,"abpnewstv",2015-09-23 17:32:33,FALSE,"646734509178642432","646738939647250432","39240673","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bnzala",0,FALSE,FALSE,NA,NA
"Sushil Modi accuses Nitish Kumar of lying about dinner cancellation - Economic Times http://t.co/HaHrrkyqwV",FALSE,0,NA,2015-09-23 17:32:33,FALSE,NA,"646738938497925120",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","indiafacto",0,FALSE,FALSE,NA,NA
"RT @vinaydokania: Hardik echo in US, Patel groups prepare to target PM Narendra Modi visit http://t.co/ewE9CBQBCp",FALSE,0,NA,2015-09-23 17:32:33,FALSE,NA,"646738938326044672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","foroneindia",1,TRUE,FALSE,NA,NA
"RT @meetpriyadarsh1: Mercury News covers anti-Modi event at Google  http://t.co/PvlsF7PnH4 #NRIsRejectModi",FALSE,0,NA,2015-09-23 17:32:32,FALSE,NA,"646738936392355840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BhavsarTarang",3,TRUE,FALSE,NA,NA
"RT @FalakThakkarr: Modi welcomes foreign funds for private profit,he was agnst Ind recving any international support for democratic engagem…",FALSE,0,NA,2015-09-23 17:32:32,FALSE,NA,"646738936069517312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hemrajsinhvagh1",5,TRUE,FALSE,NA,NA
"RT @AbhiRgyb: Modi says he is bringing foreign investment to India, however During UPA FDI inflow was 40%which slowed down to25%in last yr …",FALSE,0,NA,2015-09-23 17:32:32,FALSE,NA,"646738934559436800",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","parthjoshi_inc",6,TRUE,FALSE,NA,NA
"RT @Babu_Bhaiyaa: Whoa! Barkha Duttji already in US &amp; interviewing Gujaratis if they will support Hardik Patel&amp; oppose Modi here.90% say th…",FALSE,0,NA,2015-09-23 17:32:32,FALSE,NA,"646738933049495552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srilalgudi",281,TRUE,FALSE,NA,NA
"RT @vinaydokania: Modi donated 6.3k cr to Nepal,5kCr-Bhutan,12.8k cr-B.Desh,6.5kCr to Mongolia n they provided land to Adani to setPower Pl…",FALSE,0,NA,2015-09-23 17:32:31,FALSE,NA,"646738931707285504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BansodSada",11,TRUE,FALSE,NA,NA
"RT @siyaramsharma: Irish children recite shlokas and Modi’s Dublin event, PM takes dig at secularists
http://t.co/RM5iJiMXPv",FALSE,0,NA,2015-09-23 17:32:31,FALSE,NA,"646738931191451648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","krsnakhandelwal",2,TRUE,FALSE,NA,NA
